      #Energy        TDOS-UP        TDOS-DOWN
       6.65018       0.11270      -0.12850
       6.74418       0.10630      -0.14770
       6.83918       0.11330      -0.11510
       6.93318       0.09611      -0.11040
       7.02718       0.10280      -0.10340
       7.12218       0.10280      -0.12040
       7.21618       0.08057      -0.10760
       7.31018       0.08702      -0.11400
       7.40518       0.13080      -0.10580
       7.49918       0.08107      -0.06012
       7.59318       0.10910      -0.12660
       7.68818       0.08169      -0.11040
       7.78218       0.05694      -0.09636
       7.87618       0.08671      -0.10420
       7.97118       0.08730      -0.05395
       8.06518       0.10050      -0.08786
       8.15918       0.09682      -0.08314
       8.25418       0.07771      -0.10160
       8.34818       0.07615      -0.09996
       8.44218       0.07574      -0.08633
       8.53718       0.06052      -0.08710
       8.63118       0.08462      -0.06975
       8.72518       0.10560      -0.06324
       8.82018       0.07336      -0.08327
       8.91418       0.06969      -0.09955
       9.00818       0.07525      -0.08600
       9.10318       0.09440      -0.06936
       9.19718       0.06399      -0.08120
       9.29218       0.06097      -0.08975
       9.38618       0.15190      -0.06920
       9.48018       0.14610      -0.05318
       9.57518       0.09308      -0.11130
       9.66918       0.07330      -0.16500
       9.76318       0.06432      -0.12570
       9.85818       0.06903      -0.06640
       9.95218       0.14860      -0.07307
      10.04618       0.20080      -0.06895
      10.14118       0.12750      -0.13030
      10.23518       0.09996      -0.20010
      10.32918       0.10110      -0.14190
      10.42418       0.09760      -0.10380
      10.51818       0.11180      -0.10750
      10.61218       0.12580      -0.10470
      10.70718       0.16500      -0.11710
      10.80118       0.13740      -0.13760
      10.89518       0.11430      -0.16790
      10.99018       0.14160      -0.13050
      11.08418       0.13280      -0.10330
      11.17818       0.08343      -0.15350
      11.27318       0.12780      -0.11750
      11.36718       0.11580      -0.10500
      11.46118       0.13500      -0.13900
      11.55618       0.15560      -0.11710
      11.65018       0.10850      -0.15430
      11.74418       0.12420      -0.13750
      11.83918       0.14350      -0.11310
      11.93318       0.11720      -0.13600
      12.02718       0.12180      -0.13380
      12.12218       0.13310      -0.11410
      12.21618       0.15020      -0.12620
      12.31018       0.12050      -0.14530
      12.40518       0.11090      -0.15460
      12.49918       0.14610      -0.11980
      12.59318       0.14990      -0.12590
      12.68818       0.13760      -0.15620
      12.78218       0.14870      -0.13510
      12.87618       0.12850      -0.14030
      12.97118       0.12190      -0.13640
      13.06518       0.10890      -0.13130
      13.15918       0.12730      -0.12680
      13.25418       0.15960      -0.12390
      13.34818       0.13540      -0.15740
      13.44318       0.12130      -0.14180
      13.53718       0.13260      -0.11230
      13.63118       0.13630      -0.12980
      13.72618       0.14500      -0.14910
      13.82018       0.20020      -0.13810
      13.91418       0.14360      -0.19350
      14.00918       0.10580      -0.16210
      14.10318       0.13170      -0.11200
      14.19718       0.12160      -0.12930
      14.29218       0.13830      -0.12670
      14.38618       0.17370      -0.15050
      14.48018       0.16380      -0.16000
      14.57518       0.14080      -0.15440
      14.66918       0.13880      -0.15590
      14.76318       0.11650      -0.15710
      14.85818       0.19090      -0.12110
      14.95218       0.17000      -0.17480
      15.04618       0.10630      -0.17680
      15.14118       0.18440      -0.12320
      15.23518       0.21960      -0.16720
      15.32918       0.12880      -0.21700
      15.42418       0.13870      -0.13700
      15.51818       0.13680      -0.14810
      15.61218       0.14840      -0.11910
      15.70718       0.16950      -0.15730
      15.80118       0.14940      -0.17580
      15.89518       0.14770      -0.14870
      15.99018       0.13150      -0.14040
      16.08418       0.09382      -0.12540
      16.17818       0.03912      -0.09044
      16.27318       0.04095      -0.04153
      16.36718       0.04809      -0.04031
      16.46118       0.01771      -0.04595
      16.55618       0.00356      -0.01536
      16.65018       0.00554      -0.00528
      16.74418       0.00218      -0.00566
      16.83918      -0.00014      -0.00030
      16.93318      -0.00005       0.00016
      17.02718      -0.00000       0.00001
      17.12218      -0.00000       0.00000
      17.21618      -0.00000       0.00000
      17.31018      -0.00000       0.00000
      17.40518       0.00000       0.00000
      17.49918       0.00000       0.00000
      17.59418       0.00000       0.00000
      17.68818       0.00000       0.00000
      17.78218       0.00000       0.00000
      17.87718       0.00000       0.00000
      17.97118       0.00000       0.00000
