    # Energy          Ni          Cr
     5.89751    -4.28612    -0.44095
     5.99151    -3.04151    -0.31635
     6.08451    -4.16512    -0.38064
     6.17851    -5.98426    -0.34392
     6.27251   -10.93334    -0.50027
     6.36651    -8.64467    -0.34086
     6.46051    -9.10607    -0.32136
     6.55351   -12.14202    -0.50752
     6.64751    -9.32968    -0.39235
     6.74151    -7.71662    -0.33490
     6.83551   -12.94375    -0.50421
     6.92951   -16.48738    -0.65223
     7.02251   -15.66575    -0.73115
     7.11651   -14.23469    -0.87069
     7.21051   -14.85826    -0.97750
     7.30451   -15.29117    -1.02602
     7.39851   -14.48560    -1.00816
     7.49151   -13.71620    -0.91751
     7.58551   -11.71688    -0.77277
     7.67951   -14.23844    -1.00010
     7.77351   -14.58171    -1.11566
     7.86751   -13.91676    -0.99837
     7.96051   -13.31865    -1.07595
     8.05451   -15.96030    -1.38819
     8.14851   -13.26592    -1.13001
     8.24251    -8.06573    -0.64364
     8.33651    -7.97886    -0.69184
     8.42951    -9.75501    -0.78351
     8.52351   -10.64135    -0.87122
     8.61751   -11.24208    -1.00324
     8.71151   -10.04751    -0.77645
     8.80551    -9.13673    -0.76420
     8.89851    -8.41951    -0.77039
     8.99251    -6.86598    -0.60488
     9.08651    -9.39896    -0.81474
     9.18051    -9.58325    -0.75566
     9.27451    -8.28729    -0.60713
     9.36751   -10.49027    -0.72428
     9.46151    -9.70325    -0.65108
     9.55551    -7.83804    -0.56658
     9.64951    -9.80351    -0.69607
     9.74351   -14.92568    -0.93281
     9.83651   -14.22153    -0.80783
     9.93051   -10.05120    -0.56233
    10.02451    -8.53887    -0.57021
    10.11851    -6.66350    -0.49810
    10.21251    -7.82959    -0.54268
    10.30551   -13.20426    -0.90128
    10.39951   -14.42630    -0.90846
    10.49351   -13.63065    -0.77412
    10.58751   -12.87262    -0.76961
    10.68151   -12.07291    -0.67908
    10.77451   -14.55464    -0.79995
    10.86851   -13.83151    -0.76786
    10.96251   -14.46409    -0.80531
    11.05651   -15.72663    -0.88595
    11.15051   -19.77052    -1.22397
    11.24351   -17.89310    -1.21241
    11.33751   -16.70221    -1.13764
    11.43151   -15.70384    -1.11037
    11.52551   -15.12076    -1.00769
    11.61951   -16.52447    -1.10186
    11.71351   -18.65562    -1.36892
    11.80651   -18.59789    -1.34211
    11.90051   -16.35041    -1.14557
    11.99451   -17.03514    -1.27874
    12.08851   -14.58626    -1.16907
    12.18251   -14.77463    -1.08363
    12.27551   -13.93066    -0.92860
    12.36951   -14.60572    -1.00169
    12.46351   -13.98621    -1.03110
    12.55751   -15.24189    -1.09724
    12.65151   -14.92385    -1.09412
    12.74451   -15.28072    -1.20405
    12.83851   -15.09752    -1.14525
    12.93251   -15.95987    -1.24069
    13.02651   -14.46361    -1.08318
    13.12051   -14.48289    -1.02867
    13.21351   -12.58152    -0.96285
    13.30751   -10.53705    -0.86608
    13.40151   -11.39947    -0.83920
    13.49551   -15.55963    -1.00974
    13.58951   -19.50570    -1.23331
    13.68251   -15.09876    -1.02230
    13.77651   -16.71852    -1.18713
    13.87051   -18.18779    -1.34407
    13.96451   -15.77191    -1.24274
    14.05851   -12.02588    -0.99430
    14.15151   -12.65165    -1.02323
    14.24551   -15.42362    -1.20430
    14.33951   -13.29028    -1.05052
    14.43351   -15.60751    -1.16943
    14.52751   -16.46713    -1.16147
    14.62051   -15.61773    -1.03333
    14.71451   -16.38526    -1.10702
    14.80851   -17.51540    -1.24161
    14.90251   -17.95984    -1.26191
    14.99651   -16.96643    -1.29919
    15.08951   -16.12031    -1.34588
