    # Energy          Ni          Cr
     7.67951    13.92117     0.98583
     7.77351    12.42115     1.07236
     7.86751    14.85503     1.26896
     7.96051    13.25851     1.10421
     8.05451     7.97236     0.66848
     8.14851     7.70605     0.69311
     8.24251    10.14506     0.82005
     8.33651     9.45924     0.79059
     8.42951    10.63073     0.98382
     8.52351    10.03036     0.80075
     8.61751     9.12723     0.71718
     8.71151     8.00781     0.73679
     8.80551     6.77377     0.58965
     8.89851     8.99149     0.78142
     8.99251     9.87648     0.81260
     9.08651     7.63885     0.59152
     9.18051     9.58556     0.69301
     9.27451     9.53833     0.62549
     9.36751     9.65700     0.66771
     9.46151    10.95768     0.74650
     9.55551    13.95399     0.86890
     9.64951    13.95222     0.80593
     9.74351    10.16380     0.59845
     9.83651     8.21337     0.57025
     9.93051     6.90645     0.54121
    10.02451     7.52516     0.51955
    10.11851    11.86786     0.81833
    10.21251    14.18105     0.93320
    10.30551    13.47347     0.79577
    10.39951    13.21023     0.80341
    10.49351    10.83085     0.62827
    10.58751    13.62009     0.74912
    10.68151    13.58585     0.77239
    10.77451    14.19368     0.81425
    10.86851    15.19972     0.86026
    10.96251    17.85177     1.08120
    11.05651    18.59841     1.26000
    11.15051    16.50043     1.15168
    11.24351    16.00894     1.10880
    11.33751    14.67165     1.03243
    11.43151    15.48716     1.03090
    11.52551    17.29212     1.23856
    11.61951    19.54047     1.45678
    11.71351    15.95946     1.17416
    11.80651    16.15249     1.21594
    11.90051    15.77241     1.21150
    11.99451    14.12570     1.12314
    12.08851    14.15928     1.02221
    12.18251    13.85060     0.92463
    12.27551    14.37084     1.01892
    12.36951    14.11722     1.04833
    12.46351    15.15464     1.11378
    12.55751    14.14495     1.08217
    12.65151    15.47288     1.22808
    12.74451    14.94926     1.16057
    12.83851    14.77292     1.17848
    12.93251    14.04929     1.02341
    13.02651    14.60219     1.03735
    13.12051    12.13011     0.95344
    13.21351    10.65655     0.87941
    13.30751    11.48038     0.84151
    13.40151    16.24393     1.04679
    13.49551    19.43409     1.25120
    13.58951    14.25226     0.99280
    13.68251    16.13398     1.19435
    13.77651    18.34968     1.39308
    13.87051    15.26945     1.20687
    13.96451    12.15776     1.02105
    14.05851    12.59034     1.00262
    14.15151    15.57020     1.20504
    14.24551    12.63232     1.04436
    14.33951    14.94008     1.18016
    14.43351    15.90013     1.13955
    14.52751    14.14503     0.97055
    14.62051    17.13503     1.11885
    14.71451    18.54264     1.27981
    14.80851    17.37867     1.24816
    14.90251    16.71742     1.31384
    14.99651    16.63647     1.44260
    15.08951    16.88959     1.38737
    15.18351    13.87476     1.05018
    15.27751    12.88513     1.04771
    15.37151    13.49710     1.04962
    15.46551    14.45151     1.03354
    15.55851    14.44953     1.07753
    15.65251    14.58042     1.09472
    15.74651    15.03966     1.18799
    15.84051    13.69925     1.06615
    15.93451    15.15103     1.15350
    16.02751    14.87437     1.14787
    16.12151    15.12651     1.11771
    16.21551    14.58547     1.11176
    16.30951     8.09143     0.68902
    16.40351     5.45983     0.40114
    16.49651     4.91510     0.36993
    16.59051     1.88754     0.15851
    16.68451     0.01892     0.00328
    16.77851    -0.05453    -0.00462
    16.87251    -0.00211    -0.00018
    16.96551    -0.00001    -0.00000
    17.05951    -0.00000    -0.00000
    17.15351    -0.00000    -0.00000
    17.24751     0.00000     0.00000
    17.34151     0.00000     0.00000
    17.43451     0.00000     0.00000
    17.52851     0.00000     0.00000
    17.62251     0.00000     0.00000
    17.71651     0.00000     0.00000
    17.81051     0.00000     0.00000
    17.90351     0.00000     0.00000
